"kabupaten_kota";"nilai_investasi";"periode_update"
"Kabupaten Tulungagung";"0.001995";"Triwulan I 2019"
"Kota Batu";"0.0720443";"Triwulan I 2019"
"Kota Blitar";"0.004125";"Triwulan I 2019"
"Kota Kediri";"0.0393857";"Triwulan I 2019"
"Kota Madiun";"0.0250204";"Triwulan I 2019"
"Kota Malang";"0.140121";"Triwulan I 2019"
"Kota Mojokerto";"0";"Triwulan I 2019"
"Kota Pasuruan";"0";"Triwulan I 2019"
"Kota Probolinggo";"0.0243106";"Triwulan I 2019"
"Kota Surabaya";"1.0109894";"Triwulan I 2019"
"Kabupaten Bangkalan";"0";"Triwulan II 2019"
"Kabupaten Banyuwangi";"0.000884";"Triwulan II 2019"
"Kabupaten Blitar";"0.266173";"Triwulan II 2019"
"Kabupaten Bojonegoro";"0.026311";"Triwulan II 2019"
"Kabupaten Bondowoso";"0.00047";"Triwulan II 2019"
"Kabupaten Gresik";"0.254146";"Triwulan II 2019"
"Kabupaten Jember";"0.035652";"Triwulan II 2019"
"Kabupaten Jombang";"0.031177";"Triwulan II 2019"
"Kabupaten Kediri";"2.186708";"Triwulan II 2019"
"Kabupaten Lamongan";"0.115002";"Triwulan II 2019"
"Kabupaten Lumajang";"0.082369";"Triwulan II 2019"
"Kabupaten Madiun";"0.034315";"Triwulan II 2019"
"Kabupaten Magetan";"";"Triwulan II 2019"
"Kabupaten Malang";"4.220915";"Triwulan II 2019"
"Kabupaten Mojokerto";"0.28261";"Triwulan II 2019"
"Kabupaten Nganjuk";"0.003811";"Triwulan II 2019"
"Kabupaten Ngawi";"0";"Triwulan II 2019"
"Kabupaten Pacitan";"0.032892";"Triwulan II 2019"
"Kabupaten Pamekasan";"";"Triwulan II 2019"
"Kabupaten Pasuruan";"0.65241";"Triwulan II 2019"
"Kabupaten Ponorogo";"0.000702";"Triwulan II 2019"
"Kabupaten Probolinggo";"0";"Triwulan II 2019"
"Kabupaten Sampang";"";"Triwulan II 2019"
"Kabupaten Sidoarjo";"2.325262040314";"Triwulan II 2019"
"Kabupaten Situbondo";"0.00126";"Triwulan II 2019"
"Kabupaten Sumenep";"0.002107";"Triwulan II 2019"
"Kabupaten Trenggalek";"0.0035714575";"Triwulan II 2019"
"Kabupaten Tuban";"0.009607164132";"Triwulan II 2019"
"Kabupaten Tulungagung";"0.013245567869";"Triwulan II 2019"
"Kota Batu";"0.10443250003";"Triwulan II 2019"
"Kota Blitar";"0.004125";"Triwulan II 2019"
"Kota Kediri";"0.015698954888";"Triwulan II 2019"
"Kota Madiun";"0.032600239979";"Triwulan II 2019"
"Kota Malang";"0.105210373198";"Triwulan II 2019"
"Kota Mojokerto";"0";"Triwulan II 2019"
"Kota Pasuruan";"1.3E-5";"Triwulan II 2019"
"Kota Probolinggo";"0";"Triwulan II 2019"
"Kota Surabaya";"4.652388671852";"Triwulan II 2019"
"Kabupaten Bangkalan";"0.0118";"Triwulan III 2019"
"Kabupaten Banyuwangi";"0.31824";"Triwulan III 2019"
"Kabupaten Blitar";"";"Triwulan III 2019"
"Kabupaten Bojonegoro";"0.013129";"Triwulan III 2019"
"Kabupaten Bondowoso";"0.000292";"Triwulan III 2019"
"Kabupaten Gresik";"0.216786";"Triwulan III 2019"
"Kabupaten Jember";"0.093935";"Triwulan III 2019"
"Kabupaten Jombang";"0.175";"Triwulan III 2019"
"Kabupaten Kediri";"0.069495";"Triwulan III 2019"
"Kabupaten Lamongan";"0.030244";"Triwulan III 2019"
"Kabupaten Lumajang";"0.084071";"Triwulan III 2019"
"Kabupaten Madiun";"0.166297";"Triwulan III 2019"
"Kabupaten Magetan";"";"Triwulan III 2019"
"Kabupaten Malang";"0.168513";"Triwulan III 2019"
"Kabupaten Mojokerto";"0.054847";"Triwulan III 2019"
"Kabupaten Nganjuk";"0.022137";"Triwulan III 2019"
"Kabupaten Ngawi";"";"Triwulan III 2019"
"Kabupaten Pacitan";"0.039035";"Triwulan III 2019"
"Kabupaten Pamekasan";"";"Triwulan III 2019"
"Kabupaten Pasuruan";"0.260244";"Triwulan III 2019"
"Kabupaten Ponorogo";"0.009959";"Triwulan III 2019"
"Kabupaten Probolinggo";"8.124193";"Triwulan III 2019"
"Kabupaten Sampang";"";"Triwulan III 2019"
"Kabupaten Sidoarjo";"0.7335448";"Triwulan III 2019"
"Kabupaten Situbondo";"";"Triwulan III 2019"
"Kabupaten Sumenep";"0";"Triwulan III 2019"
"Kabupaten Trenggalek";"0.0002";"Triwulan III 2019"
"Kabupaten Tuban";"0.0210773";"Triwulan III 2019"
"Kabupaten Tulungagung";"0.0508726";"Triwulan III 2019"
"Kota Batu";"0.0011421";"Triwulan III 2019"
"Kota Blitar";"";"Triwulan III 2019"
"Kota Kediri";"0.0684178";"Triwulan III 2019"
"Kota Madiun";"0.0071796";"Triwulan III 2019"
"Kota Malang";"0.1049261";"Triwulan III 2019"
"Kota Mojokerto";"0";"Triwulan III 2019"
"Kota Pasuruan";"0.0044318";"Triwulan III 2019"
"Kota Probolinggo";"0.0005358";"Triwulan III 2019"
"Kota Surabaya";"1.4813144";"Triwulan III 2019"
"Kabupaten Bangkalan";"0.00854";"Triwulan IV 2019"
"Kabupaten Banyuwangi";"0.002219";"Triwulan IV 2019"
"Kabupaten Blitar";"0.460947";"Triwulan IV 2019"
"Kabupaten Bojonegoro";"0.005351";"Triwulan IV 2019"
"Kabupaten Bondowoso";"0.042288";"Triwulan IV 2019"
"Kabupaten Gresik";"1.832822";"Triwulan IV 2019"
"Kabupaten Jember";"0.001685";"Triwulan IV 2019"
"Kabupaten Jombang";"0.142352";"Triwulan IV 2019"
"Kabupaten Kediri";"0.273871";"Triwulan IV 2019"
"Kabupaten Lamongan";"0.055407";"Triwulan IV 2019"
"Kabupaten Lumajang";"0.00345";"Triwulan IV 2019"
"Kabupaten Madiun";"0.106223";"Triwulan IV 2019"
"Kabupaten Magetan";"0";"Triwulan IV 2019"
"Kabupaten Malang";"0.258215";"Triwulan IV 2019"
"Kabupaten Mojokerto";"0.673658";"Triwulan IV 2019"
"Kabupaten Nganjuk";"0.050174";"Triwulan IV 2019"
"Kabupaten Ngawi";"0.003566";"Triwulan IV 2019"
"Kabupaten Pacitan";"0.016022";"Triwulan IV 2019"
"Kabupaten Pamekasan";"0.000192";"Triwulan IV 2019"
"Kabupaten Pasuruan";"0.714404";"Triwulan IV 2019"
"Kabupaten Ponorogo";"0.006595";"Triwulan IV 2019"
"Kabupaten Probolinggo";"0.01142";"Triwulan IV 2019"
"Kabupaten Sampang";"0";"Triwulan IV 2019"
"Kabupaten Sidoarjo";"0.3088129";"Triwulan IV 2019"
"Kabupaten Situbondo";"0.048472";"Triwulan IV 2019"
"Kabupaten Sumenep";"0.000195";"Triwulan IV 2019"
"Kabupaten Trenggalek";"0.007305";"Triwulan IV 2019"
"Kabupaten Tuban";"0.0044839";"Triwulan IV 2019"
"Kabupaten Tulungagung";"0.0361868";"Triwulan IV 2019"
"Kota Batu";"0.0293176";"Triwulan IV 2019"
"Kota Blitar";"0.002";"Triwulan IV 2019"
"Kota Kediri";"0.0357855";"Triwulan IV 2019"
"Kota Madiun";"0.0334815";"Triwulan IV 2019"
"Kota Malang";"0.1726004";"Triwulan IV 2019"
"Kota Mojokerto";"0";"Triwulan IV 2019"
"Kota Pasuruan";"0";"Triwulan IV 2019"
"Kota Probolinggo";"0.0043635";"Triwulan IV 2019"
"Kota Surabaya";"2.319541";"Triwulan IV 2019"
"Kabupaten Bangkalan";"0.0213722";"Triwulan I 2020"
"Kabupaten Banyuwangi";"0.2383586";"Triwulan I 2020"
"Kabupaten Blitar";"0.0004384";"Triwulan I 2020"
"Kabupaten Bojonegoro";"0.0532232";"Triwulan I 2020"
"Kabupaten Bondowoso";"0.0233481";"Triwulan I 2020"
"Kabupaten Gresik";"9.8260391";"Triwulan I 2020"
"Kabupaten Jember";"0.030649";"Triwulan I 2020"
"Kabupaten Jombang";"0.0709247";"Triwulan I 2020"
"Kabupaten Kediri";"0.3126852";"Triwulan I 2020"
"Kabupaten Lamongan";"0.0050468";"Triwulan I 2020"
"Kabupaten Lumajang";"0.1310952";"Triwulan I 2020"
"Kabupaten Madiun";"0.0714825";"Triwulan I 2020"
"Kabupaten Magetan";"0.0035201";"Triwulan I 2020"
"Kabupaten Malang";"0.11125";"Triwulan I 2020"
"Kabupaten Mojokerto";"0.6250393";"Triwulan I 2020"
"Kabupaten Nganjuk";"0.0148275";"Triwulan I 2020"
"Kabupaten Ngawi";"0.0026469";"Triwulan I 2020"
"Kabupaten Pacitan";"0.0222532";"Triwulan I 2020"
"Kabupaten Pamekasan";"0.0124787";"Triwulan I 2020"
"Kabupaten Pasuruan";"2.0857471";"Triwulan I 2020"
"Kabupaten Ponorogo";"0.0037374";"Triwulan I 2020"
"Kabupaten Probolinggo";"3.1048992";"Triwulan I 2020"
"Kabupaten Sampang";"0.000875";"Triwulan I 2020"
"Kabupaten Sidoarjo";"2.0559456";"Triwulan I 2020"
"Kabupaten Situbondo";"0";"Triwulan I 2020"
"Kabupaten Sumenep";"0.004344";"Triwulan I 2020"
"Kabupaten Trenggalek";"0.001";"Triwulan I 2020"
"Kabupaten Tuban";"0.0051041";"Triwulan I 2020"
"Kabupaten Tulungagung";"0.0342328";"Triwulan I 2020"
"Kota Batu";"0.0394777";"Triwulan I 2020"
"Kota Blitar";"0.0003";"Triwulan I 2020"
"Kota Kediri";"0.9259845";"Triwulan I 2020"
"Kota Madiun";"0.0180783";"Triwulan I 2020"
"Kota Malang";"0.1149843";"Triwulan I 2020"
"Kota Mojokerto";"0.001225";"Triwulan I 2020"
"Kota Pasuruan";"0.001631";"Triwulan I 2020"
"Kota Probolinggo";"0.0054584";"Triwulan I 2020"
"Kota Surabaya";"6.5831358";"Triwulan I 2020"
"Kabupaten Bangkalan";"0.018064";"Triwulan II 2020"
"Kabupaten Banyuwangi";"0.2388774";"Triwulan II 2020"
"Kabupaten Blitar";"0.0024948";"Triwulan II 2020"
"Kabupaten Bojonegoro";"0.0105202";"Triwulan II 2020"
"Kabupaten Bondowoso";"0.0924005";"Triwulan II 2020"
"Kabupaten Gresik";"1.3326857";"Triwulan II 2020"
"Kabupaten Jember";"0.0502405";"Triwulan II 2020"
"Kabupaten Jombang";"0.0080178";"Triwulan II 2020"
"Kabupaten Kediri";"0.0768897";"Triwulan II 2020"
"Kabupaten Lamongan";"0.0998159";"Triwulan II 2020"
"Kabupaten Lumajang";"0.1006352";"Triwulan II 2020"
"Kabupaten Madiun";"0.0714058";"Triwulan II 2020"
